abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
partial adj.  1 not complete; forming only part. 2 biased. 3 (foll. By to) having a liking for.  partiality n. Partially adv. Partialness n. [latin: related to *part]
particle n.  1 minute portion of matter. 2 smallest possible amount (particle of sense). 3  a minor part of speech, esp. A short undeclinable one. B common prefix or suffix such as in-, -ness. [latin particula diminutive of pars *part]
pas n.  (pl. Same) step, esp. In ballet. [french, = step]
passage n.  1 process or means of passing; transit. 2 = *passageway. 3 liberty or right to pass through. 4 journey by sea or air. 5 transition from one state to another. 6 short extract from a book, piece of music, etc. 7 passing of a bill etc. Into law. 8 duct etc. In the body.  [french: related to *pass1]
passenger n.  1 (often attrib.) Traveller in or on a vehicle (other than the driver, pilot, crew, etc.) (passenger seat). 2 colloq. Idle member of a team, crew, etc. [french passager: related to *passage]
passion n.  1 strong emotion. 2 outburst of anger (flew into a passion). 3 intense sexual love. 4 a strong enthusiasm (passion for football). B object arousing this. 5 (the passion) a suffering of christ during his last days. B gospel account of this. C musical setting of this.  passionless adj. [latin patior pass- suffer]
passive adj.  1 acted upon, not acting. 2 showing no interest or initiative; submissive. 3 chem. Not active; inert. 4 gram. Indicating that the subject undergoes the action of the verb (e.g. In they were seen).  passively adv. Passivity n. [latin: related to *passion]
passport n.  1 official document certifying the holder's identity and citizenship, and authorizing travel abroad. 2 (foll. By to) thing that ensures admission or attainment (passport to success). [french passeport: related to *pass1, *port1]
password n.  Prearranged selected word or phrase securing recognition, admission, etc.
pasta n.  Dried flour paste in various shapes (e.g. Lasagne or spaghetti). [italian: related to *paste]
pastor n.  Minister, esp. Of a nonconformist church. [latin pasco past- feed]
path n.  (pl. Paths) 1 way or track made for or by walking. 2 line along which a person or thing moves (flight path). 3 course of action. [old english]
pathology n.  The study or symptoms of disease.  pathologist n. [greek pathos: related to *pathetic]
patio n.  (pl. -s) 1 paved usu. Roofless area adjoining a house. 2 inner roofless court in a spanish or spanish-american house. [spanish]
pavilion n.  1  building at a sports ground for changing, refreshments, etc. 2 summerhouse or decorative shelter in a park. 3 large tent at a show, fair, etc. 4 building or stand for entertainments, at an exhibition, etc. [latin papilio butterfly]
payable adj.  That must or may be paid; due (payable in april).
payment n.  1 paying. 2 amount paid. 3 reward, recompense.
payroll n.  List of employees receiving regular pay.
peace n.  1 a quiet; tranquillity. B mental calm; serenity. 2 a (often attrib.) Freedom from or the cessation of war (peace talks). B (esp. Peace) treaty of peace between states etc. At war. 3 freedom from civil disorder.  at peace 1 in a state of friendliness. 2 serene. 3 euphem. Dead. Hold one's peace keep silent. Keep the peace prevent, or refrain from, strife. Make one's peace (often foll. By with) re-establish friendly relations. Make peace agree to end a war or quarrel. [latin pax pac-]
peaceful adj.  1 characterized by peace; tranquil. 2 not infringing peace (peaceful coexistence).  peacefully adv. Peacefulness n.
penalty n.  (pl. -ies) 1 punishment for breaking a law, rule, or contract. 2 disadvantage, loss, etc., esp. As a result of one's own actions. 3 sport disadvantage imposed for a breach of the rules etc. [medieval latin: related to *penal]
pendant n.  Hanging jewel etc., esp. One attached to a necklace, bracelet, etc. [french pendre hang]
penguin n.  Flightless black and white sea bird of the southern hemisphere, with wings developed into flippers for swimming underwater. [origin unknown]
peninsula n.  Piece of land almost surrounded by water or projecting far into a sea etc.  peninsular adj. [latin paene almost, insula island]
penny n.  (pl. For separate coins -ies, for a sum of money pence) 1 british coin and monetary unit equal to one-hundredth of a pound. 2 hist. British bronze coin and monetary unit equal to one-two-hundred-and-fortieth of a pound.  in for a penny, in for a pound exhortation to total commitment to an undertaking. Pennies from heaven unexpected benefits. The penny drops colloq. One understands at last. Penny wise and pound foolish mean in small expenditures but wasteful of large amounts. A pretty penny a large sum of money. Two a penny easily obtained and so almost worthless. [old english]
perform v.  1 (also absol.) Carry into effect; do. 2 execute (a function, play, piece of music, etc.). 3  act in a play; play music, sing, etc.; execute tricks. 4 function.  performer n. [anglo-french: related to *per-, *furnish]
periodic adj.  Appearing or occurring at intervals.  periodicity n.
permanent adj.  Lasting, or intended to last or function, indefinitely.  permanence n. Permanency n. Permanently adv. [latin permaneo remain to the end]
perry n.  (pl. -ies) drink made from fermented pear juice. [french peré: related to *pear]
person n.  1 individual human being. 2 living body of a human being (found on my person). 3 gram. Any of three classes of personal pronouns, verb-forms, etc.: the person speaking (first person); the person spoken to (second person); the person spoken of (third person). 4 (in comb.) Used to replace -man in offices open to either sex (salesperson). 5 (in christianity) god as father, son, or holy ghost.  in person physically present. [latin: related to *persona]
personal adj.  1 one's own; individual; private. 2 done or made in person (my personal attention). 3 directed to or concerning an individual (personal letter). 4 referring (esp. In a hostile way) to an individual's private life or concerns (personal remarks; no need to be personal). 5 of the body and clothing (personal hygiene). 6 existing as a person (a personal god). 7 gram. Of or denoting one of the three persons (personal pronoun).
personnel n.  Staff of an organization, the armed forces, a public service, etc. [french, = personal]
pest n.  1 troublesome or annoying person or thing. 2 destructive animal, esp. One which attacks food sources. [latin pestis plague]
peter v.   peter out diminish, come to an end. [origin unknown]
petite adj.  (of a woman) of small and dainty build. [french, = little]
petroleum n.  Hydrocarbon oil found in the upper strata of the earth, refined for use as fuel etc. [latin petra rock, oleum oil]
pharmacy n.  (pl. -ies) 1 preparation and (esp. Medicinal) dispensing of drugs. 2 pharmacist's shop, dispensary.
phi n.  Twenty-first letter of the greek alphabet (f, f). [greek]
phillips n.  (usu. Attrib.) Propr. Denoting a screw with a cross-shaped slot, or a corresponding screwdriver. [name of the us manufacturer]
phoenix n.  Mythical bird, the only one of its kind, that burnt itself on a pyre and rose from the ashes to live again. [greek phoinix]
phone n.  & v. (-ning) colloq. = *telephone. [abbreviation]
photo n.  (pl. -s) = *photograph n. [abbreviation]
physical adj.  1 of the body (physical exercise). 2 of matter; material. 3 a of, or according to, the laws of nature. B of physics. 4 us medical examination. physically adv.
physician n.  Doctor, esp. A specialist in medical diagnosis and treatment.
pierce v.  (-cing) 1 a (of a sharp instrument etc.) Penetrate. B (often foll. By with) make a hole in or through with a sharp-pointed instrument. C make (a hole etc.). 2 (as piercing adj.) (of a glance, sound, light, pain, cold, etc.) Keen, sharp, or unpleasantly penetrating. 3 (often foll. By through, into) force a way through or into, penetrate. [french percer from latin pertundo bore through]
pike n.  (pl. Same or -s) 1 large voracious freshwater fish with a long narrow snout. 2 hist. Weapon with a pointed metal head on a long wooden shaft. [old english]
pill n.  1 a ball or flat disc of solid medicine for swallowing whole. B (usu. Prec. By the) colloq. Contraceptive pill. 2 unpleasant or painful necessity. [latin pila ball]
pipeline n.  1 long, usu. Underground, pipe for conveying esp. Oil. 2 channel supplying goods, information, etc.  in the pipeline being dealt with or prepared; under discussion, on the way.
pixel n.  Any of the minute areas of uniform illumination of which an image on a display screen is composed. [abbreviation of picture element]
pizza n.  Italian dish of a layer of dough baked with a topping of tomatoes, cheese, etc. [italian, = pie]
plaintiff n.  Person who brings a case against another into court. [french plaintif: related to *plaintive]
planet n.  Celestial body orbiting round a star.  planetary adj. [greek, = wanderer]
planner n.  1 person who plans new towns etc. 2 person who makes plans. 3 list, table, etc., with information helpful in planning.
plasma n.  (also plasm) 1 a colourless fluid part of blood, lymph, or milk, in which corpuscles or fat-globules are suspended. B this taken from blood for transfusions. 2 = *protoplasm. 3 gas of positive ions and free electrons in about equal numbers.  plasmic adj. [greek plasso shape (v.)]
platform n.  1 raised level surface, esp. One from which a speaker addresses an audience or one alongside the line at a railway station. 2 floor area at the entrance to a bus etc. 3 thick sole of a shoe. 4 declared policy of a political party. [french: related to *plate, *form]
platinum n.  Chem. White heavy precious metallic element that does not tarnish. [earlier platina from spanish, diminutive from plata silver]
